2026-07-22 19:23:06,259 | INFO | ai_data_analyst.app.main | ============================================================
2026-07-22 19:23:06,260 | INFO | ai_data_analyst.app.main | AI Data Analyst Agent started.
2026-07-22 19:23:06,261 | INFO | ai_data_analyst.app.main | Version: 1.0.0
2026-07-22 19:23:06,261 | INFO | ai_data_analyst.app.main | Swagger Docs: /docs
2026-07-22 19:23:06,261 | INFO | ai_data_analyst.app.main | ReDoc: /redoc
2026-07-22 19:23:06,261 | INFO | ai_data_analyst.app.main | ============================================================
2026-07-22 22:52:18,796 | INFO | ai_data_analyst.app.routes.upload | Receiving upload request: NETFLIX.xlsx
2026-07-22 22:52:18,811 | INFO | ai_data_analyst.app.routes.upload | Dataset saved to C:\Users\rprit\Documents\AI-Data-Analyst-Agent\backend\uploads\NETFLIX.xlsx
2026-07-22 22:52:18,823 | INFO | ai_data_analyst.app.services.dataset_service | Loading dataset: C:\Users\rprit\Documents\AI-Data-Analyst-Agent\backend\uploads\NETFLIX.xlsx
2026-07-22 22:52:18,824 | INFO | ai_data_analyst.app.services.dataset_loader_service | Loading dataset 'NETFLIX.xlsx'
2026-07-22 22:52:20,596 | INFO | ai_data_analyst.app.services.dataset_loader_service | Dataset 'NETFLIX.xlsx' loaded successfully. Rows=6234 Columns=12
2026-07-22 22:52:20,597 | INFO | ai_data_analyst.app.common.timing | DatasetLoaderService.load executed in 1.7735 seconds
2026-07-22 22:52:20,603 | INFO | ai_data_analyst.app.services.dataset_service | Dataset cached successfully.
2026-07-22 22:52:20,604 | INFO | ai_data_analyst.app.services.dataset_metadata_service | Generating metadata for dataset 'NETFLIX.xlsx'.
2026-07-22 22:52:20,653 | INFO | ai_data_analyst.app.services.dataset_metadata_service | Metadata generated successfully.
2026-07-22 22:52:20,653 | INFO | ai_data_analyst.app.common.timing | DatasetMetadataService.generate executed in 0.0494 seconds
2026-07-22 22:52:20,653 | INFO | ai_data_analyst.app.services.dataset_service | Dataset metadata generated.
2026-07-22 22:52:20,654 | INFO | ai_data_analyst.app.services.dataset_profile_service | Generating dataset profile.
2026-07-22 22:52:20,676 | INFO | ai_data_analyst.app.services.dataset_profile_service | Dataset profile generated successfully.
2026-07-22 22:52:20,677 | INFO | ai_data_analyst.app.common.timing | DatasetProfileService.generate executed in 0.0231 seconds
2026-07-22 22:52:20,677 | INFO | ai_data_analyst.app.services.dataset_service | Dataset profile generated.
2026-07-22 22:52:20,677 | INFO | ai_data_analyst.app.services.dataset_statistics_service | Generating dataset statistics.
2026-07-22 22:52:20,729 | INFO | ai_data_analyst.app.services.dataset_statistics_service | Dataset statistics generated successfully.
2026-07-22 22:52:20,729 | INFO | ai_data_analyst.app.common.timing | DatasetStatisticsService.generate executed in 0.0519 seconds
2026-07-22 22:52:20,729 | INFO | ai_data_analyst.app.services.dataset_service | Dataset statistics generated.
2026-07-22 22:52:20,731 | INFO | ai_data_analyst.app.services.dataset_service | Dataset metadata saved.
2026-07-22 22:52:20,733 | INFO | ai_data_analyst.app.common.timing | DatasetService.load_dataset executed in 1.9111 seconds
2026-07-22 22:52:20,733 | INFO | ai_data_analyst.app.routes.upload | Dataset uploaded successfully.
2026-07-22 22:52:20,735 | INFO | ai_data_analyst.app.common.timing | upload_dataset executed in 1.9397 seconds
2026-07-22 22:59:31,431 | INFO | ai_data_analyst.app.routes.upload | Receiving upload request: NETFLIX.xlsx
2026-07-22 22:59:31,434 | INFO | ai_data_analyst.app.routes.upload | Dataset saved to C:\Users\rprit\Documents\AI-Data-Analyst-Agent\backend\uploads\NETFLIX.xlsx
2026-07-22 22:59:31,435 | INFO | ai_data_analyst.app.services.dataset_service | Loading dataset: C:\Users\rprit\Documents\AI-Data-Analyst-Agent\backend\uploads\NETFLIX.xlsx
2026-07-22 22:59:31,436 | INFO | ai_data_analyst.app.services.dataset_loader_service | Loading dataset 'NETFLIX.xlsx'
2026-07-22 22:59:32,463 | INFO | ai_data_analyst.app.services.dataset_loader_service | Dataset 'NETFLIX.xlsx' loaded successfully. Rows=6234 Columns=12
2026-07-22 22:59:32,464 | INFO | ai_data_analyst.app.common.timing | DatasetLoaderService.load executed in 1.0284 seconds
2026-07-22 22:59:32,465 | INFO | ai_data_analyst.app.services.dataset_service | Dataset cached successfully.
2026-07-22 22:59:32,466 | INFO | ai_data_analyst.app.services.dataset_metadata_service | Generating metadata for dataset 'NETFLIX.xlsx'.
2026-07-22 22:59:32,495 | INFO | ai_data_analyst.app.services.dataset_metadata_service | Metadata generated successfully.
2026-07-22 22:59:32,495 | INFO | ai_data_analyst.app.common.timing | DatasetMetadataService.generate executed in 0.0298 seconds
2026-07-22 22:59:32,495 | INFO | ai_data_analyst.app.services.dataset_service | Dataset metadata generated.
2026-07-22 22:59:32,496 | INFO | ai_data_analyst.app.services.dataset_profile_service | Generating dataset profile.
2026-07-22 22:59:32,513 | INFO | ai_data_analyst.app.services.dataset_profile_service | Dataset profile generated successfully.
2026-07-22 22:59:32,513 | INFO | ai_data_analyst.app.common.timing | DatasetProfileService.generate executed in 0.0174 seconds
2026-07-22 22:59:32,513 | INFO | ai_data_analyst.app.services.dataset_service | Dataset profile generated.
2026-07-22 22:59:32,513 | INFO | ai_data_analyst.app.services.dataset_statistics_service | Generating dataset statistics.
2026-07-22 22:59:32,549 | INFO | ai_data_analyst.app.services.dataset_statistics_service | Dataset statistics generated successfully.
2026-07-22 22:59:32,550 | INFO | ai_data_analyst.app.common.timing | DatasetStatisticsService.generate executed in 0.0362 seconds
2026-07-22 22:59:32,550 | INFO | ai_data_analyst.app.services.dataset_service | Dataset statistics generated.
2026-07-22 22:59:32,551 | INFO | ai_data_analyst.app.services.dataset_service | Dataset metadata saved.
