EmployeeID,Department,Gender,Age,Experience,Salary,Performance,City
101,IT,Male,24,2,35000.0,78,Bhubaneswar
102,HR,Female,29,5,52000.0,86,Cuttack
103,Finance,Male,35,10,78000.0,91,Rourkela
104,Sales,Female,27,4,48000.0,83,Bhubaneswar
105,IT,Male,31,7,69000.0,88,Puri
106,Marketing,Female,26,3,,80,Cuttack
107,Finance,Male,41,15,98000.0,94,Sambalpur
108,Sales,Female,33,9,72000.0,89,Balasore
109,IT,Male,22,1,30000.0,72,Jajpur
110,HR,Female,38,12,85000.0,93,Bhubaneswar
111,Marketing,Male,30,6,61000.0,84,Puri
112,IT,Female,28,5,56000.0,87,Cuttack
113,Finance,Male,45,20,120000.0,96,Rourkela
114,Sales,Male,25,2,39000.0,76,Balasore
115,IT,Female,36,11,90000.0,92,Jajpur
116,HR,Male,32,8,67000.0,85,Sambalpur
117,Marketing,Female,27,4,47000.0,81,Puri
118,Finance,Female,34,9,76000.0,90,Cuttack
119,Sales,Male,29,5,54000.0,82,Bhubaneswar
120,IT,Male,40,14,102000.0,95,Rourkela
103,Finance,Male,35,10,78000.0,91,Rourkela
